Time Speed (cm/s),Speed (cm/s),Time Running Definition,Running Definition
1837.5,0.0,1837.5,0.0
1837.75,0.0,1837.75,0.0
1838.0,0.0,1838.0,0.0
1838.25,0.0,1838.25,0.0
1838.5,0.0,1838.5,0.0
1838.75,0.0,1838.75,0.0
1839.0,0.0,1839.0,0.0
1839.25,0.0,1839.25,0.0
1839.5,0.0,1839.5,0.0
1839.75,0.0,1839.75,0.0
1840.0,0.0,1840.0,0.0
1840.25,0.0,1840.25,0.0
1840.5,0.0,1840.5,0.0
1840.75,0.0,1840.75,0.0
1841.0,0.0,1841.0,0.0
1841.25,0.0,1841.25,0.0
1841.5,0.0,1841.5,0.0
1841.75,0.0,1841.75,0.0
1842.0,0.0,1842.0,0.0
1842.25,0.0,1842.25,0.0
1842.5,0.0,1842.5,0.0
1842.75,0.0,1842.75,0.0
1843.0,0.0,1843.0,0.0
1843.25,0.0,1843.25,0.0
1843.5,0.0,1843.5,0.0
1843.75,0.0,1843.75,0.0
1844.0,0.0,1844.0,0.0
1844.25,0.0,1844.25,0.0
1844.5,0.0,1844.5,0.0
1844.75,0.0,1844.75,0.0
1845.0,0.0,1845.0,0.0
1845.25,0.0,1845.25,0.0
1845.5,0.0,1845.5,0.0
1845.75,0.0,1845.75,0.0
1846.0,0.0,1846.0,0.0
1846.25,0.0,1846.25,0.0
1846.5,0.0,1846.5,0.0
1846.75,0.0,1846.75,0.0
1847.0,0.0,1847.0,0.0
1847.25,0.0,1847.25,0.0
1847.5,0.0,1847.5,0.0
1847.75,0.0,1847.75,0.0
1848.0,0.0,1848.0,0.0
1848.25,0.0,1848.25,0.0
1848.5,0.0,1848.5,0.0
1848.75,0.0,1848.75,0.0
1849.0,0.0,1849.0,0.0
1849.25,0.0,1849.25,0.0
1849.5,0.0,1849.5,0.0
1849.75,0.0,1849.75,0.0
1850.0,0.0,1850.0,0.0
1850.25,0.0,1850.25,0.0
1850.5,0.0,1850.5,0.0
1850.75,0.0,1850.75,0.0
1851.0,0.0,1851.0,0.0
1851.25,0.0,1851.25,0.0
1851.5,0.0,1851.5,0.0
1851.75,0.0,1851.75,0.0
1852.0,0.0,1852.0,0.0
1852.25,0.0,1852.25,0.0
1852.5,0.0,1852.5,0.0
1852.75,0.0,1852.75,0.0
1853.0,0.0,1853.0,0.0
1853.25,0.0,1853.25,0.0
1853.5,0.0,1853.5,0.0
1853.75,0.0,1853.75,0.0
1854.0,0.0,1854.0,0.0
1854.25,0.0,1854.25,0.0
1854.5,0.0,1854.5,0.0
1854.75,0.0,1854.75,0.0
1855.0,0.0,1855.0,0.0
1855.25,0.0,1855.25,0.0
1855.5,0.0,1855.5,0.0
1855.75,0.0,1855.75,0.0
1856.0,0.0,1856.0,0.0
1856.25,0.0,1856.25,0.0
1856.5,0.0,1856.5,0.0
1856.75,0.0,1856.75,0.0
1857.0,0.0,1857.0,0.0
1857.25,0.0,1857.25,0.0
1857.5,0.0,1857.5,0.0
1857.75,0.0,1857.75,0.0
1858.0,0.0,1858.0,0.0
1858.25,0.0,1858.25,0.0
1858.5,0.0,1858.5,0.0
1858.75,0.0,1858.75,0.0
1859.0,0.0,1859.0,0.0
1859.25,0.0,1859.25,0.0
1859.5,0.0,1859.5,0.0
1859.75,0.0,1859.75,0.0
1860.0,0.0,1860.0,0.0
1860.25,0.0,1860.25,0.0
1860.5,0.0,1860.5,0.0
1860.75,0.0,1860.75,0.0
1861.0,0.0,1861.0,0.0
1861.25,0.0,1861.25,0.0
1861.5,0.0,1861.5,0.0
1861.75,0.0,1861.75,0.0
1862.0,0.0,1862.0,0.0
1862.25,0.0,1862.25,0.0
1862.5,0.0,1862.5,0.0
1862.75,0.0,1862.75,0.0
1863.0,0.0,1863.0,0.0
1863.25,0.0,1863.25,0.0
1863.5,0.0,1863.5,0.0
1863.75,0.0,1863.75,0.0
1864.0,0.0,1864.0,0.0
1864.25,0.0,1864.25,0.0
1864.5,0.0,1864.5,0.0
1864.75,0.0,1864.75,0.0
1865.0,0.0,1865.0,0.0
1865.25,0.0,1865.25,0.0
1865.5,0.0,1865.5,0.0
1865.75,0.0,1865.75,0.0
1866.0,0.0,1866.0,0.0
1866.25,0.0,1866.25,0.0
1866.5,0.0,1866.5,0.0
1866.75,0.0,1866.75,0.0
1867.0,0.0,1867.0,0.0
1867.25,0.0,1867.25,0.0
1867.5,0.0,1867.5,0.0
1867.75,0.0,1867.75,0.0
1868.0,0.0,1868.0,0.0
1868.25,0.0,1868.25,0.0
1868.5,0.0,1868.5,0.0
1868.75,0.0,1868.75,0.0
1869.0,0.0,1869.0,0.0
1869.25,0.0,1869.25,0.0
1869.5,0.0,1869.5,0.0
1869.75,0.0,1869.75,0.0
1870.0,0.0,1870.0,0.0
1870.25,0.0,1870.25,0.0
