intensity,lifetime,sleep_states
2.62E+05,4.1665,2
2.63E+05,4.1745,2
2.62E+05,4.1763,2
2.63E+05,4.173,2
2.60E+05,4.1743,2
2.60E+05,4.1811,2
2.60E+05,4.1773,2
2.58E+05,4.1778,2
2.64E+05,4.191,2
2.63E+05,4.1831,2
2.63E+05,4.1824,2
2.61E+05,4.1842,2
2.63E+05,4.1931,2
2.61E+05,4.1677,2
2.59E+05,4.1735,2
2.60E+05,4.1799,2
2.59E+05,4.1767,2
2.59E+05,4.1807,2
2.60E+05,4.1958,2
2.60E+05,4.2054,2
2.61E+05,4.2119,2
2.64E+05,4.2162,2
2.66E+05,4.2218,2
2.62E+05,4.2145,2
2.60E+05,4.214,2
2.62E+05,4.2202,2
2.60E+05,4.2175,2
2.59E+05,4.1778,2
2.58E+05,4.1809,2
2.59E+05,4.2001,2
2.62E+05,4.1906,2
2.63E+05,4.1821,2
2.64E+05,4.1827,2
2.63E+05,4.1764,2
2.64E+05,4.185,2
2.60E+05,4.1869,2
2.58E+05,4.2014,2
2.59E+05,4.2084,2
2.60E+05,4.2066,2
2.61E+05,4.1905,2
2.61E+05,4.1758,2
2.60E+05,4.1901,2
2.58E+05,4.1998,2
2.60E+05,4.2126,2
4.11E+05,4.1706,2
4.11E+05,4.1781,2
4.10E+05,4.1848,2
4.09E+05,4.1702,2
4.03E+05,4.1701,2
4.08E+05,4.1767,2
4.04E+05,4.1744,2
4.02E+05,4.1816,2
4.04E+05,4.1868,2
4.04E+05,4.1759,2
4.01E+05,4.1694,2
4.01E+05,4.1679,2
4.00E+05,4.1738,2
4.02E+05,4.1805,2
4.02E+05,4.1882,2
4.02E+05,4.1877,2
3.99E+05,4.1682,2
3.99E+05,4.1794,2
3.99E+05,4.1818,2
4.02E+05,4.1755,2
4.03E+05,4.1828,2
3.99E+05,4.1823,2
3.99E+05,4.1884,2
4.02E+05,4.1756,2
4.00E+05,4.1586,2
4.01E+05,4.161,2
3.99E+05,4.1772,2
4.01E+05,4.1971,2
4.04E+05,4.1977,2
4.05E+05,4.202,2
4.03E+05,4.201,2
4.06E+05,4.2081,2
4.05E+05,4.2079,2
4.03E+05,4.2077,2
4.04E+05,4.1672,2
3.98E+05,4.1766,2
3.99E+05,4.184,2
3.99E+05,4.1868,2
4.02E+05,4.188,2
4.01E+05,4.1847,2
4.04E+05,4.1834,2
4.02E+05,4.1813,2
4.04E+05,4.1884,2
4.02E+05,4.1962,2
4.05E+05,4.2059,2
4.07E+05,4.2102,2
4.05E+05,4.2127,2
4.05E+05,4.1948,2
4.02E+05,4.1984,2
3.98E+05,4.2031,2
4.03E+05,4.2093,2
4.02E+05,4.1673,2
4.03E+05,4.1676,2
4.03E+05,4.1784,2
4.05E+05,4.1846,2
4.06E+05,4.195,2
4.03E+05,4.1969,2
4.04E+05,4.193,2
4.04E+05,4.1966,2
4.05E+05,4.2018,2
4.03E+05,4.2026,2
4.00E+05,4.2062,2
4.07E+05,4.2157,2
3.32E+05,4.1967,2
3.29E+05,4.1794,2
3.30E+05,4.1884,2
3.28E+05,4.1821,2
3.31E+05,4.1719,2
3.31E+05,4.1776,2
3.30E+05,4.1704,2
3.29E+05,4.1774,2
3.29E+05,4.1749,2
3.24E+05,4.1744,2
3.27E+05,4.1856,2
3.29E+05,4.1815,2
3.28E+05,4.1738,2
3.27E+05,4.18,2
3.27E+05,4.1821,2
3.27E+05,4.1772,2
3.26E+05,4.1898,2
3.26E+05,4.1848,2
3.27E+05,4.1816,2
3.27E+05,4.1883,2
3.29E+05,4.1964,2
3.25E+05,4.1957,2
3.29E+05,4.1861,2
3.31E+05,4.1745,2
3.26E+05,4.181,2
3.30E+05,4.1857,2
3.30E+05,4.1959,2
3.33E+05,4.2087,2
3.32E+05,4.2109,2
3.31E+05,4.1931,2
3.30E+05,4.1787,2
3.29E+05,4.1815,2
3.30E+05,4.1904,2
3.35E+05,4.184,2
3.27E+05,4.1792,2
3.26E+05,4.1912,2
3.30E+05,4.2132,2
3.38E+05,4.2148,2
3.36E+05,4.2077,2
3.30E+05,4.205,2
3.29E+05,4.2111,2
3.32E+05,4.224,2
3.30E+05,4.2245,2
3.31E+05,4.2291,2
3.33E+05,4.2324,2
3.31E+05,4.2032,2
3.33E+05,4.198,2
3.30E+05,4.2053,2
3.35E+05,4.2168,2
3.28E+05,4.2044,2
3.36E+05,4.1963,2
3.41E+05,4.2084,2
1.85E+05,4.128,2
1.75E+05,4.1121,2
1.66E+05,4.1337,2
1.65E+05,4.137,2
1.65E+05,4.141,2
1.64E+05,4.1445,2
1.65E+05,4.1279,2
1.66E+05,4.1385,2
1.65E+05,4.1363,2
1.65E+05,4.1397,2
1.65E+05,4.1341,2
1.71E+05,4.1358,2
1.72E+05,4.1367,2
1.68E+05,4.1186,2
2.76E+05,4.1527,2
2.73E+05,4.1587,2
2.72E+05,4.1599,2
2.71E+05,4.1598,2
2.70E+05,4.1446,2
2.68E+05,4.1506,2
2.69E+05,4.154,2
2.70E+05,4.1494,2
2.68E+05,4.1334,2
2.66E+05,4.1267,2
2.66E+05,4.1307,2
2.65E+05,4.1231,2
2.63E+05,4.1263,2
2.63E+05,4.1346,2
2.63E+05,4.1354,2
2.70E+05,4.1545,2
2.68E+05,4.121,2
2.68E+05,4.1242,2
2.66E+05,4.1303,2
2.76E+05,4.1361,2
2.69E+05,4.124,2
2.70E+05,4.1223,2
2.67E+05,4.1215,2
2.69E+05,4.1289,2
2.69E+05,4.1289,2
2.73E+05,4.1376,2
2.67E+05,4.1395,2
2.66E+05,4.1545,2
2.67E+05,4.16,2
2.69E+05,4.1762,2
2.71E+05,4.1847,2
2.67E+05,4.1309,2
2.71E+05,4.1557,2
2.69E+05,4.1678,2
2.70E+05,4.1821,2
2.71E+05,4.1833,2
2.70E+05,4.1858,2
2.78E+05,4.193,2
2.69E+05,4.1677,2
2.68E+05,4.1727,2
2.67E+05,4.1842,2
2.70E+05,4.1857,2
2.70E+05,4.1904,2
2.71E+05,4.189,2
2.72E+05,4.1906,2
2.68E+05,4.1883,2
