,"Low Photon","High Photon"
6.738281250,102.00000000000,294.000000000000
6.787109375,83.00000000000,238.000000000000
6.835937500,82.00000000000,224.000000000000
6.884765625,106.00000000000,248.000000000000
6.933593750,92.00000000000,261.000000000000
6.982421875,90.00000000000,232.000000000000
7.031250000,100.00000000000,241.000000000000
7.080078125,82.00000000000,246.000000000000
7.128906250,75.00000000000,242.000000000000
7.177734375,80.00000000000,223.000000000000
7.226562500,77.00000000000,225.000000000000
7.275390625,86.00000000000,205.000000000000
7.324218750,77.00000000000,214.000000000000
7.373046875,70.00000000000,225.000000000000
7.421875000,80.00000000000,219.000000000000
7.470703125,80.00000000000,233.000000000000
7.519531250,81.00000000000,198.000000000000
7.568359375,85.00000000000,228.000000000000
7.617187500,60.00000000000,206.000000000000
7.666015625,64.00000000000,173.000000000000
