,Experiment,Fitting
4.931640625,2014,2019.765593421530
4.980468750,1967,1986.925873816990
5.029296875,1927,1954.683504478660
5.078125000,1877,1922.995073825200
5.126953125,1811,1891.792686265960
5.175781250,1891,1861.117062340690
5.224609375,1836,1830.977061788010
5.273437500,1790,1801.344059439670
5.322265625,1824,1772.187404579310
5.371093750,1792,1743.462531090730
5.419921875,1713,1715.238946081060
5.468750000,1788,1687.554823650760
5.517578125,1799,1660.310781049250
5.566406250,1683,1633.497967128050
5.615234375,1707,1607.155363941180
5.664062500,1674,1581.247716624200
5.712890625,1530,1555.716241703750
5.761718750,1528,1530.591988049700
5.810546875,1546,1505.880392294960
5.859375000,1453,1481.540671523810
5.908203125,1446,1457.585872457570
5.957031250,1436,1434.003636670790
6.005859375,1396,1410.828990456360
6.054687500,1347,1388.088200860490
6.103515625,1377,1365.738063257060
6.152343750,1422,1343.744749681310
6.201171875,1373,1322.123429171620
6.250000000,1379,1300.846673412180
6.298828125,1353,1279.940472402380
6.347656250,1376,1259.402130370450
6.396484375,1276,1239.167778473850
6.445312500,1287,1219.273286962800
6.494140625,1213,1199.734620859810
6.542968750,1189,1180.540840594890
6.591796875,1145,1161.628260015820
6.640625000,1133,1143.018813111240
6.689453125,1086,1124.723090636890
6.738281250,1032,1106.757920462720
6.787109375,1128,1089.098155364250
6.835937500,1008,1071.746783868300
6.884765625,1029,1054.678214318010
6.933593750,1132,1037.865661713880
6.982421875,955,1021.378376805240
7.031250000,1030,1005.153637392640
7.080078125,1035,989.195324255411
7.128906250,1046,973.520292357053
7.177734375,1004,958.090239107062
7.226562500,982,942.922715533364
7.275390625,929,928.008068276262
7.324218750,941,913.343751836546
7.373046875,891,898.960228146181
7.421875000,883,884.805417288474
7.470703125,857,870.907957123139
7.519531250,862,857.250173218151
7.568359375,870,843.771108431427
7.617187500,788,830.561694176566
7.666015625,758,817.614195280154
7.714843750,840,804.912874942065
7.763671875,872,792.437707997769
7.812500000,753,780.199127318665
7.861328125,798,768.169049413381
7.910156250,726,756.312460478205
7.958984375,771,744.648857633822
8.007812500,792,733.183886427164
8.056640625,749,721.886368983024
8.105468750,714,710.770420668936
8.154296875,691,699.807050078384
8.203125000,712,688.991841023332
8.251953125,664,678.335784103276
8.300781250,703,667.834646895858
8.349609375,668,657.500403791523
8.398437500,638,647.340740953173
8.447265625,586,637.356397614967
8.496093750,613,627.569756919168
8.544921875,593,617.956751333342
8.593750000,646,608.489281742536
8.642578125,636,599.207013824229
8.691406250,644,590.083417349999
8.740234375,602,581.076583092580
8.789062500,589,572.219667752864
8.837890625,637,563.528769638939
8.886718750,536,554.969347198994
8.935546875,596,546.549464662770
8.984375000,508,538.273980947814
9.033203125,561,530.133705865715
9.082031250,547,522.153809652766
9.130859375,511,514.315461130676
9.179687500,497,506.584677921811
