,"ACh sensor",Autofluorescence
6.884765625,1029,14.50341359004230
6.933593750,1132,13.70506054838860
6.982421875,955,13.48329581459590
7.031250000,1030,15.96706083307410
7.080078125,1035,14.99129600438630
7.128906250,1046,14.90259011086920
7.177734375,1004,14.59211948355940
7.226562500,982,14.37035474976670
7.275390625,929,14.90259011086920
7.324218750,941,13.17282518728620
7.373046875,891,14.10423706921550
7.421875000,883,13.17282518728620
7.470703125,857,14.32600180300820
7.519531250,862,13.08411929376910
7.568359375,870,12.37447214563250
7.617187500,788,13.12847224052760
7.666015625,758,12.99541340025200
7.714843750,840,12.46317803914950
7.763671875,872,13.66070760163010
7.812500000,753,13.03976634701050
7.861328125,798,12.86235455997640
7.910156250,726,13.03976634701050
7.958984375,771,14.14859001597400
8.007812500,792,12.19706035859830
8.056640625,749,13.39458992107890
8.105468750,714,13.39458992107890
8.154296875,691,13.48329581459590
8.203125000,712,12.90670750673490
8.251953125,664,11.93094267804710
8.300781250,703,11.79788383777140
8.349609375,668,11.84223678453000
8.398437500,638,11.04388374287630
8.447265625,586,12.46317803914950
8.496093750,613,11.13258963639340
8.544921875,593,12.01964857156410
8.593750000,646,10.95517784935920
8.642578125,636,11.70917794425440
8.691406250,644,13.79376644190570
8.740234375,602,12.55188393266660
8.789062500,589,12.10835446508120
8.837890625,637,11.84223678453000
8.886718750,536,11.22129552991040
8.935546875,596,10.60035427529090
8.984375000,508,12.01964857156410
9.033203125,561,12.59623687942510
9.082031250,547,11.75353089101290
9.130859375,511,10.77776606232500
9.179687500,497,10.51164838177380
9.228515625,526,10.77776606232500
9.277343750,509,10.55600132853230
9.326171875,462,12.33011919887390
9.375000000,506,10.15682480770550
9.423828125,484,11.70917794425440
9.472656250,496,12.24141330535680
9.521484375,487,11.75353089101290
9.570312500,412,11.22129552991040
9.619140625,403,10.64470722204940
9.667968750,504,9.53588355308594
9.716796875,439,10.51164838177380
9.765625000,415,10.68906016880800
9.814453125,403,10.33423659473960
9.863281250,396,12.24141330535680
9.912109375,406,9.89070712715425
9.960937500,404,10.33423659473960
10.009765625,381,11.88658973128850
10.058593750,390,9.62458944660302
10.107421875,395,9.66894239336156
10.156250000,385,10.82211900908360
10.205078125,413,9.89070712715425
10.253906250,370,9.80200123363717
10.302734375,353,11.53176615722020
10.351562500,383,9.97941302067133
10.400390625,314,10.02376596742990
10.449218750,359,11.66482499749580
10.498046875,322,9.75764828687863
10.546875000,319,9.49153060632740
10.595703125,347,10.06811891418840
10.644531250,304,9.49153060632740
10.693359375,331,10.91082490260070
10.742187500,310,10.37858954149820
10.791015625,326,10.42294248825670
10.839843750,344,9.22541292577616
10.888671875,290,10.06811891418840
10.937500000,285,11.22129552991040
10.986328125,278,10.42294248825670
11.035156250,286,9.18105997901762
11.083984375,275,10.55600132853230
11.132812500,252,10.33423659473960
11.181640625,302,10.60035427529090
11.230468750,306,9.75764828687863
11.279296875,257,10.06811891418840
11.328125000,289,9.44717765956886
11.376953125,269,10.28988364798110
11.425781250,288,9.62458944660302
11.474609375,253,9.22541292577616
11.523437500,310,10.55600132853230
11.572265625,309,11.35435437018600
11.621093750,484,19.82576720106700
11.669921875,2,0.04435294675854
11.718750000,0,0.00000000000000
11.767578125,0,0.00000000000000
11.816406250,0,0.00000000000000
11.865234375,0,0.00000000000000
11.914062500,0,0.00000000000000
11.962890625,0,0.00000000000000
12.011718750,0,0.00000000000000
12.060546875,0,0.00000000000000
12.109375000,0,0.00000000000000
12.158203125,0,0.00000000000000
12.207031250,0,0.00000000000000
12.255859375,0,0.00000000000000
12.304687500,0,0.00000000000000
12.353515625,0,0.00000000000000
12.402343750,0,0.00000000000000
12.451171875,0,0.00000000000000
12.500000000,0,0.00000000000000
