,Baseline,ACh
5.68627450980392,23.24695120000000,26.41733450000000
5.73529411764706,21.37957320000000,27.67883640000000
5.78431372549020,22.52286590000000,26.34312850000000
5.83333333333333,21.26524390000000,26.09082810000000
5.88235294117647,21.26524390000000,25.31908580000000
5.93137254901961,20.08384150000000,24.94805580000000
5.98039215686275,19.47408540000000,24.08726630000000
6.02941176470588,19.89329270000000,23.09290590000000
6.07843137254902,18.97865850000000,23.38972990000000
6.12745098039216,17.03506100000000,23.13742950000000
6.17647058823529,17.18750000000000,21.69783320000000
6.22549019607843,16.61585370000000,23.37488870000000
6.27450980392157,17.64481710000000,23.24131790000000
6.32352941176471,18.97865850000000,22.64766990000000
6.37254901960784,19.74085370000000,22.46957550000000
6.42156862745098,18.06402440000000,21.32680320000000
