Dataset,Mouse ID,Laser,Speed,Intensity,Fit Lifetime,Empirical Lifetime
20220325_1611_RvR_001,1611,1,15.462250000000001,217340.0,2.48992463362496,4.25081878338243
20220325_1611_RvR_001,1611,1,15.848816666666666,216366.0,2.48722800813464,4.24344800265044
20220325_1611_RvR_001,1611,1,14.68915,215009.5,2.4810475182044502,4.233360640601935
20220325_1611_RvR_001,1611,1,10.823550000000001,213531.0,2.487505429405125,4.23937131573687
20220325_1611_RvR_001,1611,1,20.874033333333333,212660.5,2.48703060680201,4.241547896436824
20220325_1611_RvR_001,1611,1,15.8488,211587.0,2.48656950954356,4.24621535434767
20220325_1611_RvR_001,1611,1,19.88002857142857,212152.5,2.4949873761944845,4.250803713265405
20220325_1611_RvR_001,1611,1,12.75635,213454.0,2.486822152215935,4.250407656538275
20220329_1626_RvR_001,1626,1,0.0,269182.5,2.449915401200105,4.16814266012422
20220329_1626_RvR_001,1626,1,0.0,271023.0,2.450050214309555,4.168072952293924
20220329_1626_RvR_001,1626,1,0.0,274195.0,2.4617195970273302,4.17768139282717
20220329_1626_RvR_001,1626,1,0.0,270568.0,2.4580988484911,4.17116092493378
20220329_1626_RvR_001,1626,1,0.0,273717.0,2.46210450263294,4.175908916860675
20220329_1626_RvR_001,1626,1,0.0,274514.5,2.4690357067677002,4.1795202662863105
20220329_1626_RvR_001,1626,1,0.0,271485.0,2.4628122413171205,4.176843804005065
20220329_1626_RvR_001,1626,1,0.0,271671.0,2.46490606791664,4.17894045840029
20220329_1626_RvR_001,1626,1,0.0,266547.0,2.457161254327665,4.170064809997404
20220329_1626_RvR_001,1626,1,0.0,266054.5,2.4588536918437347,4.17234588197614
20220329_1626_RvR_001,1626,1,0.0,261964.5,2.452078011418365,4.16259025576211
20220329_1626_RvR_001,1626,1,0.0,266275.0,2.45738818416628,4.170872805147931
20220329_1626_RvR_001,1626,1,0.0,266886.0,2.4584440904769798,4.170751504569109
20220329_1626_RvR_001,1626,1,0.0,265921.0,2.45713471280446,4.16968918731751
20220329_1626_RvR_001,1626,1,0.0,263648.0,2.45380892121664,4.167254181700915
20220329_1626_RvR_001,1626,1,0.0,266394.0,2.4612939551601647,4.174182156041535
20220329_1626_RvR_001,1626,1,0.0,261885.5,2.453508376512445,4.1677496332051245
20220329_1626_RvR_001,1626,1,0.0,263659.0,2.4591389958845697,4.17185221807961
20220329_1626_RvR_001,1626,1,0.0,268105.0,2.46627394393944,4.18521193310031
20220329_1626_RvR_001,1626,1,0.0,267539.0,2.46759625739776,4.182680362802009
