Dataset,Mouse ID,Laser,Speed,Intensity,Fit Lifetime,Empirical Lifetime
20220208_109_AChMut_RvR_001,109,1,9.656728571428571,330804.0,2.49619913698634,4.15387073532387
20220208_109_AChMut_RvR_001,109,1,11.266166666666667,329689.0,2.4979109734542595,4.1571421214555
20220208_109_AChMut_RvR_001,109,1,11.266183333333334,327532.0,2.48573850518058,4.148164838162614
20220208_109_AChMut_RvR_001,109,1,11.65465,330382.0,2.4922014322919903,4.152374300564871
20220208_109_AChMut_RvR_001,109,1,11.987642857142857,327362.0,2.4777841792695496,4.13494407711839
20220208_109_AChMut_RvR_001,109,1,10.039385714285714,327825.0,2.47641209897591,4.136499761258445
20220208_109_AChMut_RvR_001,109,1,10.931833333333334,328088.0,2.4874665923816948,4.150518500908669
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,400409.0,2.32395061691868,4.1982414188315555
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,403387.0,2.3268849822305753,4.20319776433853
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,401056.5,2.327412226154685,4.205045410495865
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,402108.0,2.3293312436628346,4.206526830401855
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,402423.0,2.32905759376392,4.20777728459616
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,402855.0,2.33141161162993,4.20852861433411
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,403158.5,2.3280323853668197,4.20928988058325
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,402885.5,2.3307697351086802,4.211501958053825
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,402253.0,2.33381125740471,4.212803635634985
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,402224.5,2.33186572589198,4.21263432297958
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,402713.0,2.33080813813589,4.21341909523703
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,400758.0,2.33077276897035,4.20854933469701
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,400658.5,2.33181141635692,4.2102518570204595
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,400861.5,2.331505331667725,4.21196262151952
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,401850.0,2.3362515958998302,4.214087327650045
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,400336.0,2.33181669900475,4.2154462649784055
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,402176.0,2.33247680607328,4.217127174762569
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,400542.0,2.33268730617713,4.21587377084447
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,400520.0,2.3351455393562097,4.21718027900384
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,401149.0,2.33386378756575,4.21616162767077
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,402280.5,2.3350894279282404,4.217202135955235
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,401329.5,2.335737994303285,4.2186348967528
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,401828.0,2.33652697201593,4.21708641205183
20220714_PM29_111_AChmut_RvR_002,111,1,0.0,403258.0,2.3382991884035498,4.21984385051404
20220714_PM29_111_AChmut_RvR_002,111,1,15.462266666666666,402973.5,2.32426904693719,4.195579060437485
20220714_PM29_111_AChmut_RvR_002,111,1,16.621916666666667,404459.0,2.3370832850971803,4.21769108293333
20220714_PM29_111_AChmut_RvR_002,111,1,10.050433333333332,404129.0,2.3386853983191402,4.22101287921266
20220714_PM29_111_AChmut_RvR_002,111,1,18.16815,404809.5,2.3307705825968,4.22051938090767
20220714_PM29_111_AChmut_RvR_002,111,1,16.6219,404277.0,2.34152498701141,4.21559937737202
